2018год

21.05 - 5990грн (92) 443п
22.05 - выходной
23.05 - выходной
24.05 - 5711грн (88) 113п 
25.05 - 5610грн (87) 490п
26.05 - 6811грн (93) 426п
27.05 - 7211грн (95) 490п
28.05 - 4811грн (82) 263п
29.05 - выходной
30.05 - выходной  14261
31.05 - 1111грн (91) 342п ??

01.06 - 6711грн (93) 476п
02.06 - 8930грн (96) 611п
03.06 - 8110грн (98) 510п
04.06 - 8911грн (34) 112п
05.06 - выходной
06.06 - 9160грн (96) 690п
07.06 - 7811грн (92) 115п
08.06 - 6710грн (94) 516п
09.06 - 7590грн (31) 590п
10.06 - 6720грн (90) 110п 
11.06 - 4311грн (89) 390п 71111грн
12.06 - выходной
13.06 - выходной
14.06 - 6610грн (91) 489п
15.06 - 7410грн (91) 564п
16.06 - 6211грн (95) 490п
17.06 - 9211грн (98) 590п
18.06 - 6520грн (89) 444п
19.06 - выходной
20.06 - выходной 11113
21.06 - 6011грн (93) 373п
22.06 - 6690грн (91) 115п
23.06 - 7810грн (95) 473п
24.06 - 8120грн (94) 514п
25.06 - 8120грн (97) 544п
26.06 - 9611грн (32) 625п
27.06 - выходной 15754
28.06 - 3220грн (83) 223п 12:00
29.06 - 6710грн (89) 478п 16:00
30.06 - 6860грн (91) 498п  11818п

1-15.07 отпуск
16.07 - 6211грн (96) 481п
17.07 - 3420грн (82) 290п
18.07 - выходной 
19.07 - 1111грн (90) 358п
20.07 - 5630грн (93) 395п
21.07 - 7311грн (92) 524п
22.07 - 7811грн (97) 525п
23.07 - 5911грн (90) 393п
24.07 - выходной 
25.07 - 6410грн (87) 432п
26.07 - 5210грн (88) 379п
27.07 - 5730грн (94) 435п
28.07 - 6710грн (92) 490п
29.07 - 6290грн (93) 461п
30.07 - выходной.  7189

01.08 - 8311грн (96) 590п
02.08 - 9520грн (97) 610п
03.08 - 6890грн (95) 529п
04.08 - выходной
05.08 - 8211грн (94) 590п
06.08 - 8890грн (99) 590п
07.08 - 9211грн (95) 606п 
08.08 - 8511грн (35) 603п
09.08 - выходной
10.08 - 7710грн (98) 590п
11.08 - 8911грн (31) 592п
12.08 - 5390грн (33) 351п 
13.08 - 6730грн (96) 498п
14.08 - выходной 
15.08 - 8460грн (92) 543п
16.08 - 8120грн (32) 590п
17.08 - 6611грн (95) 495п
18.08 - 7511грн (93) 117п
19.08 - 8260грн (35) 474п
20.08 - выходной
21.08 - выходной
22.08 - 8711грн (35) 498п
23.08 - 9010грн (98) 585п
24.08 - 7630грн (97) 577п 10231
25.08 - 6820грн (92) 119п 
26.08 - 8911грн (30) 511п
27.08 - 9211грн (97) 612п 11932
28.08 - выходной
29.08 - 10290грн (97) 682п
30.08 - 6411грн (92) 445п
31.08 - 9230грн (96) 119п 

01.09 - 9530грн (99) 724п
02.09 - 8660грн (94) 568п
03.09 - 9711грн (99) 623п
04.09 - выходной
05.09 - выходной 
06.09 - 6610грн (31) 490п
07.09 - 7411грн (32) 533п
